location,present_name,borough,name,desc
10th Street and 12th Street,41st Avenue,Queens,Janet Cole Plaza, Janet Cole (1954-1995) was President and Co-Founder of the Queensbridge Tenants Association and a member of Astoria Concerned Neighbors. She also led the effort to have the Drug Elimination Outreach Program brought to Queensbridge Houses.(RGPR)
Between Queens Boulevard and 43rd Avenue,44th Street,Queens,Jason M. Sekzer Memorial Place," Jason M. Sekzer (b. 1970) worked at Cantor Fitzgerald in the World Trade Center.  He was killed in the terrorist attack of  September 11, 2001"
Between 33rd Avenue and 35th Avenue,171st Street,Queens,"Jeanne, Jules, Morty Manford PFLAG Way"," PFLAG (Parents, Families and Friends of Lesbians and Gays) promotes the health and well-being of gay, lesbian, bisexual and transgender persons.  Founded in 1973, it has become the world’s leading organization for allies of the LGBT community.  Founder Jeanne Manford (1920-2013) was posthumously awarded the Presidential Citizens Medal in 2013.  (Dromm)"
Intersection of 88th Avenue and 178th Street,None,Queens,Jefferson Diggs Way, Jefferson Diggs participated in the first wave of sit-ins at Woolworth and Kress lunch counters.  He was one of the first African-American reporters hired by The New York Daily News.  
Between 53rd Road and Grand Avenue,72nd Place,Queens,Jennifer Mazzota Way," Jennifer Mazzota worked at Cantor Fitzgerald in the World Trade Center. She was killed in the terrorist attack of September 11, 2001."
Between Utopia Parkway and 169th Street,25th Avenue,Queens,Jennifer Y. Wong Way," Jennifer Y. Wong was active in Christian youth groups and later became a Sunday school teacher. She was a risk management technologist with Marsh & McLennan on the 96th floor of Tower One in the World Trade Center.  She was killed in the September 11, 2001 terrorist attacks."
Between Greenpoint Avenue and 48th Avenue,38th Street,Queens,Jerry Ingenito Way," Jerry Ingenito, a Sunnyside native, was an outstanding basketball coach. Over his 30 year career, he coached at Saint Raphael’s CYO, Christ the King, and Queens College and influenced hundreds of players"
Between Juniper Valley Road and 66th Drive,Gray Street,Queens,Jill Maurer-Campbell Street," Jill Maurer-Campbell (b. 1970) worked for Baseline Financial Services at the World Trade Center.  She was killed in the terrorist attack of September 11, 2001. "
Bounded by Jamaica Ave and 88th St,87th St,Queens,Jimmy Young Pl," James Francis Young was a lifelong resident of Woodhaven.  Born in 1983, he came from a family of firefighters  and joined the NYFD himself 1990.  He was an active imember of the Knights of Columbus and the Lions Club, and a participant a number of sports leagues.  On March 28, 1994, he died in the line of duty while searching for occupants  during a fire in a Manhattan building. "
164th Avenue and 168th Street,84th Avenue,Queens,Joe Austin Way," Joseph Austin (1904-1998), an automotive and, later, a brewery worker, had been a semi-pro baseball player. He coached and mentored many hundreds of boys in a lifetime devoted to the youth of his community."
Northeast corner of 47th Avenue and Vernon Boulevard,None,Queens,Joe Imp’s Place," Joseph Imperato (1944-2005) owned and operated Joe Imp’s Restaurant in Long Island City for many years and was a fixture in the neighborhood. . He was a community leader dedicated to assisting the elderly, keeping his neighborhood clean and serving St. Mary’s Church."
Queens Boulevard between 48th and 50th Streets,Veterans Memorial Park,Queens,Joe Sabba Park," Joseph (“Joe”) Sabba (1916-1999) was a tail gunner in World War II. In 1946, he became a partner in the Woodside Herald, beginning a long career of community involvement.  He was the originator of the Sunnyside Flag Day Parade and served as President of the Sunnyside Chamber of Commerce. "
Southwest corner of 80th Street and 25th Avenue2013/50,None,Queens,Father Eugene F. Donnelly Corner," Father Eugene F. Donnelly (1921-2012) served as a parish priest in Queens for 59 years, of which 42 years were at Our Lady of Fatima, East Elmhurst."
Myrtle Avenue to Cooper Avenue,68th Street,Queens,Father Joseph David Colbert Way," Father Joseph David Colbert (1933-2000) was ordained in 1959.  He served at two other parishes in Queens before becoming Pastor at St. Pancras Parish, which he served until his death.  Father Colbert led the restoration of St. Pancras Church, and maintained and improved St. Pancras School, both located in this block."
Intersection of Vernon Boulevard and 51st Street,None,Queens,Felicia Hamilton Way," Felicia Hamilton (b. 1939) worked at Fiduciary Trust International in the World Trade Center.  She was killed in the terrorist attack of September 11, 2001."
Southeast corner of 86th Avenue and 111th Street,None,Queens,Felix Cuervo Corner," Felix J. Cuervo was the founder and president of the Native New Yorkers' Historical Association, which strove to raise awareness of the city's historic heritage.  He was among the first people to conduct historical walking tours of New York City. His organization also placed plaques on historic sites in the city and monuments on the unmarked graves of several notable people buried in Queens.  Mr. Cuervo died in 1992 at age 73."
The south side of Queens Boulevard between 64th and 65th Streets.,Queens Blvd,Queens,FF Peter F. McLaughlin Way," As a teenager, Peter McLaughlin (1964-1995) joined the Northport (NY) Fire Department Junior Smoke Eaters and earned a certificate from the NYS Firefighters School.  After serving four years in the Marine Corps, he joined the NYFD in 1988.  In 1993 he became a member of Rescue Unit #4 in Queens, which is located nearby.  On October 8, 1995, while fighting a fire on the top floor of a building in Long Island City, FF McLaughlin was fatally injured when the ceiling fell on him. "
Between 41st Avenue and 39th Avenue,211th Street,Queens,Firefighter Andrew Christopher Brunn Street," Firefighter Andrew Christopher Brunn (b. 1973) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between Willets Point Boulevard and 24th Avenue,147th Street,Queens,Firefighter Carl F. Asaro Way," Firefighter Carl F. Asara (b. 1961) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Northwest corner of 14th Road and 118th Street,None,Queens,Firefighter Carl John Bedigian Road," Firefighter Carl John Bedigian (b. 1966) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between 85th Avenue and Hillside Avenue,122nd Street,Queens,Firefighter Christopher J. Pickford Street," Christopher J. Pickford (1969-2001) was an accomplished guitarist and song writer and used these talents in several bands throughout the years, appearing regularly in Manhattan’s East Village.  He joined the NYFD in January 2000.  He was one of the 342 firefighters killed in fire rescue operations at the World Trade Center on September 11, 2001.  "
At the southwest corner of Tuskegee Airmen Way and 154th Street,None,Queens,"General Benjamin Oliver Davis, Jr. Blvd."," Benjamin Oliver Davis, Jr.(1912-2002) was the first African-American general officer in the United States Air Force and on December 9, 1998, was advanced to four-star general by President Bill Clinton.  He was one of the first five graduates to get wings at Tuskegee Army Air Field in March 1942 and was assigned to the newly activated 99th Fighter Squadron.  By August of that year, he became squadron commander.  The group flew m  any combat missions under his command.  He returned to the United States in September 1943 to assume command of the 332nd Fighter Group (Wills)  [This is one of 18  namings along Tuskegee Airmen Way honoring outstanding units and individuals in African-American military history.]"
Between 98th and 99th Streets,55th Avenue,Queens,Genesis Regalado Way," Genesis Regalado (1994-2006), a student at IS 61 in Corona, was shot and killed by a stray bullet fired from a moving car on 55th Avenue between 98th and 99th Streets."
Between Grand and Ankener Avenues,Calamus Avenue,Queens,Genevieve “Jean” Albetta Way," Genevieve (Jean) Albetta was a long-time school crossing guard at the corner of 84th Street and Grand Avenue in Elmhurst for St. Adalbert’s School.  She worked up until the day of her death on May 29, 2004."
Between Fresh Pond Road and Mt. Olivet Crescent,60th Drive,Queens,George Gibbons Jr. Way," George Gibbons Jr. (1974-2011) a leader in community sports, educational, musical and charitable activities, was killed by a hit-run driver.  His death brought attention to the weak penalty for leaving the scene of an accident."
Between 8th Avenue and 9th Avenue,149th Street,Queens,George J. Regan Street," George J. Regan (1911-1982), was an Assistant District Attorney and an Administrative Law Judge for the NYC Department of Environmental Protection as well as the Parking Violations Bureau. He was an officer or active member of several civic and professional organizations."
158th Avenue and 159th Avenue,Cross Bay Boulevard,Queens,George Meany Boulevard," George Meany (1894-1980) became President of the American Federation of Labor (AFL) in 1952.  He helped bring about the merger of the AFL and the Congress of Industrial Organizations (CIO) in 1955, after 20 years of bitter rivalry. (RGPR)"
Intersection of Austin Street and Ascan Avenue,None,Queens,Geraldine Ferraro Way," Geraldine Ferraro (1935-2011) was a Democratic Party politician, a member of the United States House of Representatives and the first female candidate of a major party for Vice President of the United States. "
Intersection of 211th Street and 28th Avenue,none,Queens,Glenn J. Travers Sr. 9/11 Memorial Way," Glenn J. Travers, Sr. (b. 1948) was working for Forest Electric Corporation at the World Trade Center when he was killed in the terrorist attack of September 11, 2001."
Between Bayswater Avenue and Coldspring Road,Waterview Street,Queens,Gloria Warshofsky Memorial Place," Gloria Brochin Warshofsky (1928-2003),  an interior decorator, was also a staunch community activist.  She was President of the Bayswater Civic Association and a member of Queens Community Board 14 for many years.  "
"Hockey rink in Dutch Kills Playground, bounded by 36th and 37t Avenues, 28th Street and Crescent Street.",None,Queens,John DaSilva Memorial Park," John DaSilva (1959-1981) joined the the YMCA roller hockey program at age 10.  He spent much of his time in the YMCA home fild in what is now Dutch Kills Playground.  In his teen years he was the top scorer in the Metropolitan Junior Hockey League.  In his four years at St. John's University, he was the most prolific hockey scorer in the history of the school.  He died in an auto accident on March 6, 1981. "
Existing park at 50th Street and 43rd Avenue,None,Queens,John Downing Park," John Downing, 40, was an 11-year veteran of the NYFD, assigned to Ladder Company 163.  He was one of three firefighters who died in a Father’s Day fire in Astoria, Queens on June 17, 2001.  Fifty others were injured.  "
At the northwest corner of 176th Street and Jamaica Avenue,None,Queens,John Watusi Branch Way," 
John Watusi Branch, who died December 28, 2013 at the age of 70, was the co-founder of the Afrikan Poetry Theatre in Jamaica, Queens,, a collective of poets, singers and musicians focused on jazz, funk, African rhythms and poetry.  It was incorporated as a nonprofit in 1977 and expanded to offer cultural and educational tours to West Africa and a summer youth employment program.  Mr. Branch was a well-known figure in the pan-African movement as well as a published poet and author of several titles, including ?A Story of Kwanza: Black/Afrikan Holy Days.? (Miller)
"
Intersection of Brookville Boulevard and Hook Creek Boulevard,None,Queens,Joseph Albergo Way," Joseph Albergo was one of the most active residents of Rosedale for half a century.  He serve as Treasurer of Community Board 13 and President of Community School Board 29; and was a member of the Rosedale Ambulance Corps, the Rosedale Civic Association, the Rosedale Lions Club and the Rosedale Nutrition Club."
Intersection of 3rd Avenue and 147th Place,None ,Queens,Joseph M. Rota Place, Joseph M. Rota was a civic leader who spent many years of his life committed to the betterment of his community as President and Chairman of the Board of the Greater Whitestone Taxpayers and Civic Association and as a member of Queens Community Board 7.
"An existing playground bounded by 102nd Street, Corona Avenue and Alstyne Avenue",None,Queens,Josephine Caminiti Playground," Josephine Caminiti (1931-1994) was a member of the Northside Democratic Club for 40 years, a Democratic District Leader, a member of Community Board. 4 for 17 years, and served on numerous boards and committees.  She worked as a School Aide for the Board of Education for 26 years."
Between Springfield Boulevard and Cloverdale Boulevard,77th Avenue,Queens,Judge Ralph Sherman Way," Ralph Sherman (d.2007) was a Civil Court Judge in Queens County and a NYS Supreme Court Justice.  In addition, he was the Democratic District Leader for the 24th Assembly District, and a leader of several civic and veterans organizations."
Northwest corner of Steinway Street and Broadway,None,Queens,Julie Wager Way," Julie Wager (1929-2010) was founder and president for over 30 years of the Central Astoria Local Development Coalition, president of the Steinway Astoria partnership and president of the Steinway Street Merchants Association"
Southwest corner  of 78th Street and 37th Avenue,None,Queens,Julio Rivera Corner," Julio Rivera born in 1961 in the Bronx, moved to Manhattan in 1980 and launched a modeling career. On July 2, 1990, he was the victim of a brutal attack in the schoolyard of P.S. 69 in Jackson Heights. In 1991, three individuals were arrested and convicted of his murder. RGPR)"
Between Myrtle Avenue and Central Avenue,66th Place,Queens,E.M.T. David Marc Sullins Place," E. M. T. David Marc Sullins (b. 1971) was an ambulance paramedic based at Cabrini Medical Center.  He was killed during the rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between 89th Avenue and 91st Avenue,118th Street,Queens,"E.S.U. Police Officer Santos ""Papo"" Valentin, Jr. Way"," Police Officer Santos Valentin, Jr. (b. 1961) was killed on September 11, 2001 during rescue operations following the terrorist attack on the World Trade Center.  "
Southeast corner of 77th Street and 37th Avenue,None,Queens,Edgar Garzon Corner," Edgar Garzon was a talented young gay man who had been a member of an organization founded in Jackson Heights called the Colombian Lesbian and Gay Association (COLEGA). Edgar Garzon was killed in a hate attack on August 14, 2001."
At the northeast corner of 104th Street and 48th Avenue,None,Queens,Edward F. Guida Sr. Way," Eddie Guida, who died in 2014, was a City Marshal for 29 years.  He was deeply involved in community and charitable work in Queens and beyond.  His grandfather, Edward Guida Sr., had opened the Edward F. Guida Funeral Home in 1909, and it is still operated by the Guida family.   Eddie Guida was active in the Corona Lions, The Latino Lawyers Association, The Italian Heritage Foundation, The American Diabetes Association, The Golden Age and the local Precinct Council.  He assisted with the creation of the Queens chapter at St. Jude?s Children?s Hospital in 1991, which earned him the title of ?Man of the Year.?   (Ferreras-Copeland)
"
Intersection of Woodside Avenue and 58th Street,None,Queens,Edward Fowley Way," Edward J. Fowley (1926-1999), while serving in the U. S. Army in Korea, founded an orphanage for abandoned children.  In Woodside, he was President of The Woodside Senior Assistance Center, raised funds for St. Sebastian’s Church and the Woodside Veterans Memorial, and was a board member of the Bulova School for the Handicapped."
Between Broadway and Poyer Street,Cornish Avenue,Queens,Edward Joseph Martinez Way," Edward Joseph Martinez(b. 1941), an employee of Cantor Fitzgerald, was killed in the terrorist attack on the World Trade Center on September 11, 2001"
Intersection of 60th St and 31st Ave,None,Queens,Eileen Duggan Square," Eileen Duggan was a school crossing guard assigned to Corpus Christi Grammar School.  On November 17, 1994, while at her post, she was struck and killed by a sports car.  A mother of three children, she was also President of the Corpus Christi School Parent Association.  She was 35 years old."
Between Rockaway Beach Boulevard and Beach Channel Drive,Beach 37th Street,Queens,Firefighter Eugene M. Whelan Street," Firefighter Eugene M. Whelan (b. 1969) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
the intersection of Beach 114th Street and the Boardwalk,None,Queens,Firefighter John Heffernan Street," Firefighter John Heffernan (b. 1964) was killed on September 11, 2001 during firefighting and rescue operations following the terrorist attack on the World Trade Center.  "
Between Eliot Avenue and Juniper Boulevard North,77th Place,Queens,Firefighter John J. Florio Place," Firefighter John J. Florio (b. 1967) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
between Commonwealth Boulevard and 248th Street,87th Drive,Queens,Firefighter John Sineno Drive," John Sineno (1930-2003) joined the NYFD in 1962. He was assigned to Engine 58 in Harlem, where his skills in the kitchen were quickly harnessed. In 1972, along with Joe Hickey and Jack Mera, he helped establish the New York Hospital – New York Firefighters Burn Center Foundation.    He was the author of two best-selling cookbooks whose proceeds went to the Burn Center and other charitable causes.   "
Corner of 86th Street and 89th Avenue,None,Queens,Firefighter LT Robert F. Wallace Street," Lt. Robert F. Wallace (b. 1958) was killed on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Between 47th Avenue and 48th Avenue,46th Street,Queens,Firefighter Matthew David Garvey Street," Matthew David Garvey (b. 1963) was killed on September 11, 2001 during firefighting and rescue operations following the terrorist attack on the World Trade Center.  "
Intersection of 53rd Drive and 63rd Place,None,Queens,Firefighter Matthew E. Barnes Drive," Firefighter Matthew E. Barnes (b. 1963) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Between 147th Street and 149th Street ,8th Avenue,Queens,Firefighter Michael Carlo Avenue," Firefighter Michael Carlo (b. 1967) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between Parsons Boulevard and 156th Street,Kalmia Avenue,Queens,Firefighter Michael Cawley Place," Firefighter Michael Cawley (b. 1969) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between Union Street and Kissena Boulevard,41st Avenue,Queens,Firefighter Michael F. Lynch Way," Firefighter Michael F. Lynch (b. 1968) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Between 119th Street and 120th Street,14th Road,Queens,Firefighter Michael Haub Road," Firefighter Michael Haub (b. 1967) was killed on September 11, 2001 during firefighting and rescue operations following the terrorist attack on the World Trade Center.  "
Between 23rd Avenue and 25th Avenue,130th Street,Queens,Firefighter Michael J. Elferis Street," Firefighter Michael J. Elferis (b. 1973) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between 72nd Street and 74th Street,Eliot Avenue,Queens,Firefighter Michael Weinberg Way," Firefighter Michael Weinberg (b. 1967) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between Broadway and 34th Avenue,35th Street,Queens,Firefighter Paul Gill Street," Firefighter Paul Gill (b. 1967) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Corner of 30 th Avenue and 49th Street,None,Queens,Firefighter Richard Sclafani Way, Firefighter Richard Sclafani (1967-2005) ran into a burning building to save the lives of children who were participating in a birthday party. He was the 1131st New York City Firefighter to die in the line of duty.
Between Beach Channel Drive and Almeda Avenue,Beach 51st Street,Queens,Goldie M. Maple Way," For over 40 years, Goldie M. Maple (d. 2004) was an advocate for parents’ involvement in their children’s education.  In 1982, she started her informative newsletter “Pass The Word.” Today, her efforts are systematically applied through the local school parent coordinators."
Southeast corner of 77th Street and Broadway,None,Queens,Guillermo Vasquez Corner, Guillermo Vasquez (1953-1996) was a founding member of the Latin American Cultural Center of Queens and a founding member and president of the Queens Hispanic Coalition
Between 104th Street and Hawtree Basin,164th Road,Queens,Calhoun Court, Local Law 2009/46 gave this street a numerical designation consistent with the area-wide street numbering system.  This action restored Calhoun Court as a co-name.
82nd Street and 37th Avenue,None,Queens,Calle Colombia Way," Honors the many people of Colombian descent who live in the Jackson Heights area.  As evidence of this large population, Colombia’s RCN-TV has its American headquarters in Jackson Heights."
Between 139th Avenue and Eastgate Plaza,Sloan Street,Queens,"Calvin Gooding, Jr. Place"," Calvin Gooding, Jr. (b. 1963) worked for Cantor Fitzgerald at the World Trade Center. He was killed in the terrorist attack of September 11, 2001."
Between 75th Street and 73rd Place,69th Road,Queens,Capt. Patrick Waters Road," Fire Captain Patrick Waters (b. 1956) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between 195th Street and 37th Avenue,Francis Lewis Boulevard,Queens,Captain James J. Corrigan Way," James J. Corrigan (b. 1941) a retired Captain in the NYFD, was fire and safety director of the World Trade Center.  He was killed in the terrorist attack of September 11, 2001."
Northwest corner of Kissena Boulevard and Booth Memorial Avenue,Unnamed (Commonly known as North Hempstead Turnpike Playground).,Queens,Captain Mario Fajardo Park," Captain Fajardo (1961-1991) came to the US from Ecuador with his family in 1973 and earned a BS degree in Electrical Engineering from the Citadel  Military College.  Serving with the US Army in Korea,  he took part in civilian community projects as well as military construction projects.  In 1988, whie at Fort Bragg, NC, he coordinated planning and construction of a much needed school recreation area in Fayetteville.  In 1990, serving in Honduras, he built an airstrip for miitary and civilian use as well a eight schools.  Later that year he was deployed to the Persian Gulf during opeation Desert Shield.  On February 26, 1991, he was killed as he led a unit of 100 men in clearing a minefield.  "
Between 201st Street and 202nd Street,42nd Avenue,Queens,Captain Vincent F. Giammona Way," Fire Captain Vincent F. Giammona was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001.  It was his 40th birthday."
Between Holland Avenue and Shore Front Parkway,Beach 93rd Street,Queens,Captain Walter G. Hynes Way," Walter G. Hynes (b. 1954) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center. "
Bounded by Queens Blvd and Van Loon St,Grand Ave,Queens,Captain Wayne E Smith Place," Captain Smith (1957-1994), a Queens native, joined the NYFD in 1979.  He was promoted to Captain in 1993  and in 1994 was transferred to Ladder Company 136 in Queens.  On August 7, 1994 he sustained internal injuries and burns while fighting a two-alarm fire.  He died 59 days later."
Between 83rd Avenue and Myrtle Avenue,Woodhaven Boulevard,Queens,Firefighter Scott A. Larsen Boulevard," Firefighter Scott A. Larsen (b. 1966) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
"Triangle formed by Oak Avenue, Quince Avenue and 158th Street",None,Queens,Firefighter Scott M. Kopytko Triangle," Firefighter Scott M. Kopytko (b. 1958) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
Between Northern Boulevard and 35th Avenue,149th street,Queens,Firefighter Sergio Gabriel Villanueva Way," Firefighter Sergio Gabriel Villanueva (b. 1968) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between Beach 72nd Street and Beach 65th Street,Bayfield Avenue,Queens,Firefighter Stephen P. Russell Memorial Drive," Firefighter Stephen P. Russell.(b. 1961) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between 149th Street and 150th Street,22nd Avenue,Queens,Firefighter Thomas A. Casoria Way," Thomas A. Casoria was a New York City firefighter who was tragically killed in the line of duty on September 11, 2001."
Between 43rd Avenue and 45th Avenue,163rd Street,Queens,Firefighter Thomas A. Gardner Street," Firefighter Thomas A. Gardner (b. 1962) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Between 48th Avenue and Laurel Hill Boulevard,44th Street,Queens,Firefighter Thomas McCann Place," Firefighter Thomas McCann (b. 1955) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between 97th Street and 98th Street,99th Avenue,Queens,Firefighter Thomas R. Kelly Avenue," Firefighter Thomas R. Kelly (b. 1962) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center"
Between 29th Avenue and 32nd Avenue,159th Street,Queens,Firefighter Timothy M. Welty Street," Firefighter Timothy M. Welty (b. 1967) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001."
Between 62nd Avenue and 63rd Avenue,81st Street,Queens,Firefighter Vincent S. Morello street," Firefighter Vincent Morello (b. 1967) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001. "
Between Farmers Boulevard and 176th Street,133rd Avenue,Queens,Firefighter William Henry Avenue," Firefighter William Henry (b. 1952) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
Between 12th Street and 14th Street,Astoria Boulevard,Queens,"Firefighters John Downing, Harry Ford and Brian Fahey Way"," On June 17, 2001, a Sunday, the NYFD lost Firefighters John Downing, (Ladder 163 in Queens) 40, an 11-year veteran; Brian Fahey, (Rescue 4 in Queens), 46, a 14-year veteran; and Henry Ford, (Rescue 4 in Queens), 50, a 20-year veteran. They had answered a call to an explosion and fire on Astoria Boulevard. Ford and Downing were killed when the building façade collapsed on them. Fahey was killed inside the building when it imploded.  [See also John Downing Park]"
At the intersection of Farrington Street and Northern Boulevard,None,Queens,Daniel Carter Beard Memorial Square," Daniel Carter Beard (1850-1941), an artist and writer, was a pivotal figure in the history of the Boy Scouts of America. He founded the Sons of Daniel Boone in 1905. and in 1910 merged his organization into the newly founded Boy Scouts of America. He served for 30 years as a National Scout Commissioner and was the editor of the BSA official magazine, Boys' Life.   He also helped organize the Camp Fire Girls and served as president of the Camp Fire Club of America.  He founded Boy Scout Troop 1 in Flushing, one of the oldest Boy Scout Troops in the United States.   (Koo)"
"Existing playground adjacent PS 176, at 121st Avenue and 237th Street. ",None,Queens,Delphin Greene Playground," Delphin H. Greene (1935-1992) was a policeman, community activist, and longtime resident of the Cambria Heights neighborhood of Queens. After serving in the US Army, he joined the New York City Police Department.  He reached the rank of detective and served in a number of units including Narcotics and Homicide. He was a founding member and President of the Douglass/King Regular Democratic Club; managed the Cambria Heights Little League; and was a member of the Cambria Heights Kiwanis Club for 16 years, serving as president in 1983."
At the intersection of Steinway Street and 31st Avenue,None,Queens,Demetris Kastanas Way," Demetris Kastanas (d. 2013) was ""Mr. Greek TV.""  He owned National Greek Television (NGTV), the first private Greek-owned TV channel in the United States, for 37 years.  His career in television began in 1975, when he inaugurated a Greek weekly show on an American station. In 1987, the Greek Channel began airing on Time-Warner Cable in Queens and Brooklyn.  He also founded Eseis, a bi-weekly magazine to address the issues of the Hellenic-American community.  His work provided Hellenic-Americans with a connection to their homeland through Hellenic news, folklore and music. (Constantinides)"
Between 29th Street and 30th Street,30th Avenue,Queens,Dennis Syntilas Way," Dennis Syntilas (1929-2015) founded the Greek-American Homeowners Association and helped create Athens Square, a park and amphitheater that features sculptures of Greek philosopher Socrates and the goddess Athena.  The Greek-American Homeowners Association continues today to connect and engage Greek-American property owners in community and government services.  (Constantinides)
"
At the intersection of 222nd Street and 92nd Road,None,Queens,Detective 1st Grade Brian Moore Way," Officer Moore died on May 4, 2015 after being shot while on plainclothes patrol for the Anti-Crime Unit. Officer Moore had served the New York Police Department for five years. Following his untimely death he was posthumously promoted to the rank of Detective by Commissioner Bratton. He has been recognized for making 159 arrests during his time on the police force and has received medals for Excellent Police Duty and Meritorious Police Duty. (Miller)"
At the intersection of 1490 Grenada Place and Faber Terrace,None,Queens,Detective Dennis Guerra Way," Police Officer Dennis Guerra was killed in the line of duty.  He died from injuries he sustained on April 9, 2014, after responding to a fire on the 1th floor of  a NYCHA apartment building in the Coney Island section of Brooklyn.  The fire was later determined to be arson.  The 38-year-old father of four had served with the New York City Police Department for eight years.   At his funeral, Commissioner Bratton promoted him posthumously to the rank of detective.  (Richards)"
Between 60th Street and 60th Lane,59th Road,Queens,Detective Kevin Czartoryski Place," Detective Kevin Czartoryski (1964-2010) died of pulmonary fibrosis.  The NYPD medical board determined his condition was caused by his work at Ground Zero, searching for remains and staffing a makeshift morgue.  "
Between Beach 25th Street and Beach 22nd Street,At the intersection of Collier Avenue and Briar Place,Queens,Detective Randolph Holder Way," 

Randolph Holder and his partner were on patrol in East Harlem on October 20, 2015, when they responded to a call of shots fired.  The officers canvassed the area for the suspect and located him approximately 18 blocks away near a footbridge over Franklin D. Roosevelt Drive at 120th Street.  A gun battle ensued. Officer Holder was struck in the exchange of gunfire and was killed in the line of duty. The suspect, who had been wounded, was found several blocks away by responding officers and taken into custody. (Richards and Mark-Viverito)
"
Intersection of 65th Drive and 75th Place,None,Queens,Dianne T. Signer Drive," Dianne T. Signer (b. 1969) worked at Fred Alger Management in the World Trade Center.  She was killed in the terrorist attack of September 11, 2001."
Between 73rd Street and 74th Street,37th Road,Queens,Diversity Plaza," Jackson Heights is one of the most diverse neighborhoods in the world.  Friends of Diversity Plaza is a community partnership committed to making the Plaza a vibrant cultural space.  Events held there include the Queens World Film Festival; Summer Movie Thursdays; Make Music New York in Diversity Plaza; Solidarity for Nepal, ?Peace for All? Day Rally; Holiday Tree Lighting & Festival (Lights in the Heights); Uni Pop-up reading room with the Queens Library; Eid celebration ? Muhammedi Center; the Flushing Town Hall LGBT Performance; Bengladeshi Mela; Indian Diwali; Mother Language Celebration; Family Day; and the  Queens LGBT Pride Multicultural Festival. (Dromm)
"
Between 32nd Avenue and 33rd Avenue,149th Street,Queens,Dominick Berardi Way," Dominick Berardi was killed in the terrorist attacks on September 11, 2001.  He was twenty-five years old and worked for Cantor and Fitzgerald on the 101st floor."
At the intersection of 41st Street and 48th Avenue,None,Queens,Carlo A. Lanzillotti Place," Carlo A. Lanzillotti (1911-1979), who served in the NYS State Senate from 1952 to 1954, was commander of the American Legion’s Blissville Post No. 727.  He was a leader of the Sunnyside Chamber of Commerce and several other civic, political and youth-service organizations.  "
Between Crescent Street and 29th Street,30th Road,Queens,Carlos Lillo Way," Carlos Lillo (b. 1963), a paramedic, was killed while assisting in rescue operations on September 11, 2001 following the terrorist attack on the World Trade Center. "
On the northwest and southwest corners of Tuskegee Airmen Way and Guy R. Brewer Boulevard,None,Queens,Cathay Williams Blvd.," Cathay Williams (1844?-1892) was the first African-American woman to enlist, and the only woman known to have served in the U.S. Army posing as a man.  Born in Missouri, she was a house slave for a wealthy planter until his death.  During the Civil War she was freed by Union soldiers and soon went to work for the Army as a paid servant.   On November 15, 1866, she enlisted as a cook, using the name William Cathay.  An Army surgeon examined her, apparently not very thoroughly, and found her fit for duty.  She was assigned to the 38th Infantry, one of the Buffalo Soldier regiments. Traveling throughout the west with her unit took a toll on her  health.  She was hospitalized five times, yet it was never discovered that she was female.  In her two years in the Army she participated in regular garrison duties but there is no record that she ever saw direct combat.  She was seemingly not well regarded by her commanding officer, but when her sex was finally discovered, she was granted an honorable discharge. (Wills)"
